Year,Month,Council,Applications,Assessments,pop
2007,12,Aberdeenshire,75,55,244390
2008,1,Aberdeenshire,155,85,246830
2008,2,Aberdeenshire,150,90,246830
2008,3,Aberdeenshire,125,90,246830
2008,4,Aberdeenshire,125,90,246830
2008,5,Aberdeenshire,115,85,246830
2008,6,Aberdeenshire,130,85,246830
2008,7,Aberdeenshire,130,75,246830
2008,8,Aberdeenshire,115,95,246830
2008,9,Aberdeenshire,160,85,246830
2008,10,Aberdeenshire,140,105,246830
2008,11,Aberdeenshire,120,90,246830
2008,12,Aberdeenshire,110,85,246830
2009,1,Aberdeenshire,135,75,249020
2009,2,Aberdeenshire,130,95,249020
2009,3,Aberdeenshire,145,110,249020
2009,4,Aberdeenshire,135,100,249020
2009,5,Aberdeenshire,150,95,249020
2009,6,Aberdeenshire,115,105,249020
2009,7,Aberdeenshire,135,95,249020
2009,8,Aberdeenshire,150,95,249020
2009,9,Aberdeenshire,130,110,249020
2009,10,Aberdeenshire,145,105,249020
2009,11,Aberdeenshire,190,150,249020
2009,12,Aberdeenshire,95,75,249020
2010,1,Aberdeenshire,130,95,251430
2010,2,Aberdeenshire,160,120,251430
2010,3,Aberdeenshire,185,130,251430
2010,4,Aberdeenshire,150,105,251430
2010,5,Aberdeenshire,150,140,251430
2010,6,Aberdeenshire,155,120,251430
2010,7,Aberdeenshire,175,120,251430
2010,8,Aberdeenshire,165,115,251430
2010,9,Aberdeenshire,155,145,251430
2010,10,Aberdeenshire,145,110,251430
2010,11,Aberdeenshire,120,95,251430
2010,12,Aberdeenshire,95,90,251430
2011,1,Aberdeenshire,165,95,253650
2011,2,Aberdeenshire,140,115,253650
2011,3,Aberdeenshire,170,140,253650
2011,4,Aberdeenshire,140,110,253650
2011,5,Aberdeenshire,135,90,253650
2011,6,Aberdeenshire,150,90,253650
2011,7,Aberdeenshire,120,115,253650
2011,8,Aberdeenshire,165,100,253650
2011,9,Aberdeenshire,130,115,253650
2011,10,Aberdeenshire,130,105,253650
2011,11,Aberdeenshire,135,110,253650
2011,12,Aberdeenshire,75,80,253650
2012,1,Aberdeenshire,130,85,255560
2012,2,Aberdeenshire,140,110,255560
2012,3,Aberdeenshire,150,135,255560
2012,4,Aberdeenshire,100,70,255560
2012,5,Aberdeenshire,160,100,255560
2012,6,Aberdeenshire,120,90,255560
2012,7,Aberdeenshire,135,100,255560
2012,8,Aberdeenshire,155,90,255560
2012,9,Aberdeenshire,125,120,255560
2012,10,Aberdeenshire,135,100,255560
2012,11,Aberdeenshire,110,105,255560
2012,12,Aberdeenshire,90,60,255560
2013,1,Aberdeenshire,110,75,257770
2013,2,Aberdeenshire,95,95,257770
2013,3,Aberdeenshire,80,75,257770
2013,4,Aberdeenshire,105,80,257770
2013,5,Aberdeenshire,105,80,257770
2013,6,Aberdeenshire,100,100,257770
2013,7,Aberdeenshire,110,75,257770
2013,8,Aberdeenshire,115,100,257770
2013,9,Aberdeenshire,95,90,257770
2013,10,Aberdeenshire,100,85,257770
2013,11,Aberdeenshire,85,60,257770
2013,12,Aberdeenshire,95,70,257770
2014,1,Aberdeenshire,125,105,260530
2014,2,Aberdeenshire,105,100,260530
2014,3,Aberdeenshire,85,80,260530
2014,4,Aberdeenshire,105,85,260530
2014,5,Aberdeenshire,110,95,260530
2014,6,Aberdeenshire,95,75,260530
2014,7,Aberdeenshire,115,85,260530
2014,8,Aberdeenshire,105,95,260530
2014,9,Aberdeenshire,105,95,260530
2014,10,Aberdeenshire,110,75,260530
2014,11,Aberdeenshire,80,80,260530
2014,12,Aberdeenshire,70,70,260530
2015,1,Aberdeenshire,110,75,261960
2015,2,Aberdeenshire,115,85,261960
2015,3,Aberdeenshire,85,95,261960
2015,4,Aberdeenshire,95,85,261960
2015,5,Aberdeenshire,100,80,261960
2015,6,Aberdeenshire,110,105,261960
2015,7,Aberdeenshire,95,90,261960
2015,8,Aberdeenshire,95,70,261960
2015,9,Aberdeenshire,90,85,261960
2015,10,Aberdeenshire,80,60,261960
2015,11,Aberdeenshire,75,75,261960
2015,12,Aberdeenshire,75,50,261960
2016,1,Aberdeenshire,130,95,262190
2016,2,Aberdeenshire,90,85,262190
2016,3,Aberdeenshire,100,95,262190
2016,4,Aberdeenshire,95,80,262190
2016,5,Aberdeenshire,100,85,262190
2016,6,Aberdeenshire,100,95,262190
2016,7,Aberdeenshire,80,60,262190
2016,8,Aberdeenshire,80,75,262190
2016,9,Aberdeenshire,90,70,262190
2016,10,Aberdeenshire,90,70,262190
2016,11,Aberdeenshire,75,80,262190
2016,12,Aberdeenshire,70,55,262190
2017,1,Aberdeenshire,85,70,261800
2017,2,Aberdeenshire,85,80,261800
2017,3,Aberdeenshire,100,90,261800
2017,4,Aberdeenshire,80,80,261800
2017,5,Aberdeenshire,95,70,261800
2017,6,Aberdeenshire,85,75,261800
2017,7,Aberdeenshire,85,65,261800
2017,8,Aberdeenshire,90,90,261800
2017,9,Aberdeenshire,75,60,261800
2017,10,Aberdeenshire,115,80,261800
2017,11,Aberdeenshire,80,85,261800
2017,12,Aberdeenshire,75,55,261800
2018,1,Aberdeenshire,120,80,261470
2018,2,Aberdeenshire,90,85,261470
2018,3,Aberdeenshire,100,90,261470
2018,4,Aberdeenshire,105,85,261470
2018,5,Aberdeenshire,105,80,261470
2018,6,Aberdeenshire,90,95,261470
2018,7,Aberdeenshire,85,60,261470
2018,8,Aberdeenshire,115,85,261470
2018,9,Aberdeenshire,90,90,261470
2018,10,Aberdeenshire,125,75,261470
2018,11,Aberdeenshire,90,95,261470
2018,12,Aberdeenshire,45,55,261470
2019,1,Aberdeenshire,115,75,NA
2019,2,Aberdeenshire,95,75,NA
2019,3,Aberdeenshire,100,95,NA
2002,4,Angus,70,65,108810
2002,5,Angus,95,35,108810
2002,6,Angus,80,30,108810
2002,7,Angus,100,70,108810
2002,8,Angus,125,70,108810
2002,9,Angus,100,45,108810
2002,10,Angus,135,55,108810
2002,11,Angus,85,45,108810
2002,12,Angus,75,40,108810
2003,1,Angus,125,70,108700
2003,2,Angus,105,45,108700
2003,3,Angus,125,70,108700
2003,4,Angus,110,40,108700
2003,5,Angus,105,55,108700
2003,6,Angus,105,50,108700
2003,7,Angus,120,40,108700
2003,8,Angus,115,60,108700
2003,9,Angus,115,40,108700
2003,10,Angus,125,75,108700
2003,11,Angus,100,75,108700
2003,12,Angus,80,65,108700
2004,1,Angus,145,55,110170
2004,2,Angus,130,65,110170
2004,3,Angus,160,120,110170
2004,4,Angus,140,75,110170
2004,5,Angus,110,40,110170
2004,6,Angus,150,75,110170
